Experience_Years,Win_Loss_Ratio,Education_Level,Weighted_Score,Case_Results
16,0.72,JD,0.62,1
0,0.49,JD,0.29,0
11,0.59,JD,0.5,0
13,0.37,LLM,0.5,0
1,0.38,JD,0.27,0
30,0.56,LLM,0.84,1
4,0.24,JD,0.28,0
6,0.65,JD,0.44,0
5,0.73,LLM,0.47,0
6,0.44,JD,0.37,0
22,0.75,LLM,0.76,1
13,0.35,JD,0.46,0
5,0.22,JD,0.29,0
2,0.53,LLM,0.36,0
26,0.63,JD,0.76,1
7,0.6,LLM,0.47,0
15,0.26,JSD,0.53,0
4,0.87,JD,0.47,0
14,0.7,JD,0.58,0
3,0.36,LLM,0.33,0
28,0.81,JD,0.85,1
27,0.32,JD,0.68,1
26,0.45,JD,0.71,1
26,0.89,JD,0.84,1
6,0.28,JD,0.32,0
20,0.39,JD,0.59,0
11,0.55,JD,0.49,0
17,0.56,JD,0.59,0
21,0.73,JD,0.71,1
10,0.79,JSD,0.61,1
9,0.6,LLM,0.5,0
0,0.61,JD,0.32,0
30,0.62,JD,0.83,1
27,0.28,JD,0.67,1
6,0.86,JD,0.5,0
19,0.44,JD,0.59,0
2,0.3,LLM,0.29,0
15,0.3,JD,0.48,0
30,0.8,JD,0.88,1
9,0.23,LLM,0.39,0
3,0.89,JSD,0.52,0
19,0.32,LLM,0.58,0
26,0.73,JD,0.79,1
28,0.6,JSD,0.85,1
19,0.36,JD,0.57,0
2,0.84,JD,0.43,0
12,0.67,JD,0.54,0
0,0.89,JD,0.41,0
3,0.8,JD,0.43,0
2,0.57,JD,0.34,0
10,0.68,LLM,0.54,0
16,0.34,LLM,0.54,0
14,0.51,JD,0.53,0
19,0.28,LLM,0.57,0
0,0.22,JD,0.21,0
29,0.81,JD,0.86,1
29,0.22,LLM,0.72,1
30,0.43,JD,0.77,1
0,0.42,LLM,0.3,0
11,0.63,JD,0.51,0
30,0.66,LLM,0.87,1
26,0.42,JD,0.7,1
7,0.62,JD,0.44,0
19,0.54,LLM,0.65,1
28,0.87,JD,0.87,1
24,0.35,JD,0.65,1
27,0.54,JD,0.75,1
14,0.66,JD,0.57,0
30,0.4,JD,0.76,1
13,0.36,LLM,0.49,0
7,0.37,JD,0.37,0
4,0.59,JD,0.38,0
4,0.49,LLM,0.38,0
0,0.53,LLM,0.33,0
26,0.77,LLM,0.83,1
11,0.43,JSD,0.51,0
0,0.58,LLM,0.34,0
13,0.84,LLM,0.64,1
19,0.4,JD,0.58,0
26,0.75,JD,0.8,1
13,0.2,JD,0.42,0
19,0.74,LLM,0.71,1
1,0.33,JSD,0.32,0
29,0.29,JD,0.71,1
9,0.67,JD,0.49,0
29,0.51,JD,0.78,1
20,0.8,JD,0.71,1
11,0.42,JD,0.45,0
5,0.52,JSD,0.44,0
23,0.84,JD,0.78,1
0,0.74,JD,0.36,0
19,0.79,JD,0.69,1
15,0.89,JD,0.66,1
29,0.43,LLM,0.78,1
5,0.68,LLM,0.46,0
28,0.32,JSD,0.76,1
6,0.44,JD,0.37,0
1,0.55,LLM,0.35,0
4,0.42,LLM,0.36,0
20,0.39,JD,0.59,0
4,0.31,LLM,0.33,0
12,0.52,JD,0.5,0
21,0.66,JD,0.69,1
14,0.29,JD,0.46,0
4,0.45,LLM,0.37,0
22,0.73,LLM,0.76,1
11,0.68,JD,0.53,0
19,0.32,JD,0.55,0
0,0.45,JD,0.28,0
5,0.2,JD,0.28,0
8,0.44,LLM,0.44,0
30,0.59,JSD,0.88,1
30,0.74,JD,0.86,1
12,0.61,JD,0.52,0
11,0.37,JD,0.43,0
3,0.53,JD,0.35,0
6,0.85,JD,0.5,0
27,0.42,JD,0.72,1
18,0.24,JD,0.51,0
26,0.56,JD,0.74,1
24,0.44,JD,0.67,1
28,0.36,JD,0.72,1
8,0.66,JD,0.47,0
15,0.49,JD,0.54,0
5,0.87,JSD,0.54,0
26,0.76,JD,0.8,1
20,0.44,LLM,0.64,1
23,0.36,JD,0.63,1
29,0.89,LLM,0.92,1
24,0.74,JD,0.76,1
15,0.21,LLM,0.48,0
4,0.72,JD,0.42,0
4,0.67,LLM,0.44,0
18,0.43,LLM,0.6,0
15,0.66,JD,0.59,0
10,0.83,LLM,0.58,0
17,0.39,LLM,0.57,0
26,0.31,JD,0.67,1
8,0.59,JD,0.45,0
14,0.41,JSD,0.56,0
11,0.76,JD,0.55,0
27,0.34,JD,0.69,1
27,0.35,JD,0.7,1
27,0.67,JD,0.79,1
7,0.81,LLM,0.53,0
9,0.68,JD,0.49,0
1,0.62,JD,0.34,0
21,0.49,JD,0.64,1
8,0.24,LLM,0.37,0
3,0.26,JSD,0.33,0
3,0.39,JSD,0.37,0
21,0.21,JD,0.55,0
10,0.32,JD,0.4,0
3,0.21,JD,0.25,0
6,0.79,LLM,0.51,0
24,0.84,JSD,0.85,1
15,0.46,LLM,0.56,0
22,0.27,JSD,0.65,1
0,0.55,LLM,0.33,0
24,0.87,LLM,0.83,1
18,0.84,LLM,0.72,1
26,0.59,JD,0.75,1
11,0.89,JSD,0.65,1
30,0.36,JD,0.75,1
1,0.55,JD,0.32,0
17,0.74,LLM,0.68,1
29,0.71,LLM,0.87,1
14,0.74,JD,0.6,0
26,0.53,JD,0.73,1
22,0.45,JD,0.64,1
14,0.6,LLM,0.58,0
5,0.79,JSD,0.52,0
21,0.76,JD,0.72,1
6,0.45,LLM,0.4,0
20,0.31,JD,0.57,0
30,0.44,LLM,0.8,1
30,0.47,JD,0.78,1
9,0.89,JD,0.56,0
4,0.77,JD,0.44,0
25,0.84,JD,0.81,1
30,0.83,LLM,0.92,1
9,0.41,JD,0.41,0
27,0.21,LLM,0.68,1
0,0.51,JD,0.29,0
26,0.74,LLM,0.83,1
15,0.82,JD,0.64,1
16,0.32,JD,0.5,0
26,0.28,JD,0.66,1
23,0.38,LLM,0.67,1
17,0.52,LLM,0.61,1
16,0.9,LLM,0.71,1
20,0.79,JD,0.71,1
26,0.45,JSD,0.77,1
4,0.39,JD,0.32,0
11,0.89,LLM,0.62,1
1,0.46,JD,0.3,0
5,0.21,LLM,0.32,0
13,0.54,JSD,0.58,0
22,0.22,JD,0.57,0
3,0.49,JD,0.34,0
